Gene,X,Y,Z,CellID
ADORA2A,2016.68088,366.03135,5,0
ADORA2A,1771.50795,1225.86465,6,3
ADORA2A,250.82835,558.73455,7,0
ADORA2A,1147.10769,1633.47381,9,0
ADORA2A,2499.80037,1307.55405,7,0
ADORA2A,1129.09413,1346.61834,5,1
ADORA2A,1276.86816,1235.08089,6,1
ADORA2A,1328.18586,840.35352,8,1
ADORA2A,2692.18938,1737.05178,7,0
ADORA2A,788.09325,22.09803,6,0
ADORA2A,2118.6879,1467.58149,9,3
ADORA2A,4.60812,434.42004,8,0
ADORA2A,1179.46926,415.56864,7,0
ADORA2A,857.7387,1273.09788,9,1
ADORA2A,1519.31811,1230.68223,9,0
ADORA2A,434.73423,956.28963,6,0
ADORA2A,1640.38599,1411.23675,5,0
ADORA2A,43.77714,1480.35855,9,0
ADORA2A,1445.06454,1864.71765,8,0
ADORA2A,1586.03112,1716.94362,9,0
ADORA2A,1041.85404,1649.28804,8,0
ADORA2A,2052.708,1751.81871,7,3
ADORA2A,70.06437,303.50754,7,0
ADORA2A,1153.28676,209.56473,8,0
ADORA2A,314.50419,260.88243,5,0
ADORA2A,926.75577,645.45099,8,0
ADORA2A,1261.68231,416.72067,6,0
ADORA2A,1790.883,1835.70744,9,3
ADORA2A,393.99426,1105.9488,5,0
ADORA2A,1349.9697,775.52565,7,1
ADORA2A,2516.34771,1283.57088,9,0
ADORA2A,2343.43848,1900.11639,5,3
ADORA2A,235.95669,94.04754,9,0
ADORA2A,2313.38097,1685.00097,9,3
ADORA2A,1955.51856,2048.09988,9,0
ADORA2A,2464.2969,1538.16951,8,0
ADORA2A,857.31978,164.00718,9,0
ADORA2A,1737.78489,834.80283,9,0
ADORA2A,925.70847,41.78727,7,0
ADORA2A,1154.1246,208.09851,8,0
ADORA2A,2623.90542,1201.35783,7,0
ADORA2A,398.70711,1441.39899,6,0
ADORA2A,985.19511,807.15411,5,1
ADORA2A,813.54264,780.76215,6,1
ADORA2A,1855.8156,2136.492,8,0
ADORA2A,1098.30351,166.62543,5,0
